,coordinate,ip,country,timest,os,connection_type,accuracy,event_type,gps_speed,app_id,count
4425,49.2973|-123.0610,50.68.178.83,CAN,1601556205,android,wifi,14677,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
4426,45.4436|-73.3039,70.81.255.237,CAN,1601554609,ios,na,11,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4427,44.0533|-79.4644,70.51.193.30,CAN,1601554637,ios,wifi,3,GPS,"\\""""",8d11c000c24207c2d94b9cd2fd4ecc74,1
4428,43.7271|-79.3436,69.158.246.54,CAN,1601556919,ios,carrier,8,GPS,"\\""""",2bac758857892925a59b6c19eaf583bd,1
4429,42.2923|-82.9507,24.55.224.21,CAN,1601554947,android,wifi,8,GPS,"\\""""",e9c8a48c2d23e7faf50d705cc7624c75,1
4430,46.6185|-72.7112,74.210.156.129,CAN,1601556135,android,na,7,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4431,45.4372|-75.7830,24.203.28.102,CAN,1601555831,android,wifi,7,GPS,"\\""""",7993ed4e315bb654b139abcd44154bac,1
4432,45.6444|-72.6306,"\\""""",CAN,1601557148,ios,na,6,GPS,"\\""""",30ae46dc565c1bcffa05ee524938d5b2,1
4433,45.6667|-73.5319,204.48.78.98,CAN,1601554283,ios,na,4,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4434,53.0014|-112.8527,174.90.223.97,CAN,1601555983,android,carrier,8,GPS,"\\""""",694feedf5a4535ea0199f592e670b3f7,1
4435,45.5717|-73.9301,74.57.21.182,CAN,1601556634,android,wifi,11,GPS,"\\""""",8a38ea503212a1bc3ed9011e59475147,1
4436,51.1531|-104.9929,74.206.140.15,CAN,1601554323,android,na,20,GPS,"\\""""",9111daff59cc5460975f5f83e08a5345,1
4437,43.8646|-79.6889,209.151.138.238,CAN,1601556452,ios,wifi,3,GPS,"\\""""",aadc2a272590cef97438fd82bfe738e9,1
4438,51.0945|-113.9742,68.145.81.47,CAN,1601555355,ios,wifi,10,GPS,"\\""""",6062f039cc76095f2e0f44a1e748d221,1
4439,43.6446|-79.5163,72.137.81.130,CAN,1601554152,android,wifi,11,GPS,"\\""""",8a38ea503212a1bc3ed9011e59475147,1
4440,45.0718|-64.4403,24.224.149.22,CAN,1601556487,android,wifi,6,GPS,"\\""""",7993ed4e315bb654b139abcd44154bac,1
4441,43.8268|-79.4677,72.140.16.12,CAN,1601554101,ios,wifi,13,GPS,"\\""""",15a8371fd8bb4a5ec91c62907871594b,1
4442,46.6196|-84.3074,72.143.198.79,CAN,1601556270,ios,carrier,6,GPS,"\\""""",2bac758857892925a59b6c19eaf583bd,1
4443,46.4321|-80.9931,74.14.141.70,CAN,1601555019,ios,wifi,10,GPS,"\\""""",15a8371fd8bb4a5ec91c62907871594b,1
4444,42.9506|-81.2678,67.70.204.57,CAN,1601554269,ios,wifi,7,GPS,"\\""""",6549d0551c510637bae5c65063687a00,1
4445,53.5496|-113.5134,68.148.189.47,CAN,1601555749,android,wifi,3055,GPS,"\\""""",e9c8a48c2d23e7faf50d705cc7624c75,1
4446,50.4771|-104.6946,24.72.29.165,CAN,1601554220,ios,wifi,14,GPS,"\\""""",15a8371fd8bb4a5ec91c62907871594b,1
4447,45.8274|-66.5848,"\\""""",CAN,1601554327,android,na,6,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4448,43.1690|-80.7464,67.201.159.202,CAN,1601556722,android,na,9,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4449,53.5083|-113.6365,68.150.186.27,CAN,1601554585,android,wifi,13,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
4450,45.6569|-73.5341,"\\""""",CAN,1601554280,android,na,15,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4451,43.3672|-80.0851,24.141.161.34,CAN,1601555676,android,wifi,9,GPS,"\\""""",8a38ea503212a1bc3ed9011e59475147,1
4452,43.4933|-79.6733,"\\""""",CAN,1601554253,android,na,6,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4453,46.2422|-81.7500,"\\""""",CAN,1601556127,android,na,10,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4454,43.8109|-79.0676,24.114.58.164,CAN,1601556360,android,carrier,10,GPS,"\\""""",694feedf5a4535ea0199f592e670b3f7,1
4455,51.0984|-113.9286,68.145.34.164,CAN,1601555747,ios,wifi,16,GPS,"\\""""",15a8371fd8bb4a5ec91c62907871594b,1
4456,45.6642|-73.5480,142.113.15.90,CAN,1601554272,ios,wifi,30,GPS,"\\""""",8d11c000c24207c2d94b9cd2fd4ecc74,1
4457,50.8897|-114.0392,142.59.11.13,CAN,1601555523,ios,wifi,3,GPS,"\\""""",011a6a6ee196da7e165c4f5e9fcab275,1
4458,45.6216|-73.6545,216.191.229.190,CAN,1601557126,android,wifi,12644,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,2
4459,49.8858|-119.3838,154.20.194.113,CAN,1601554242,android,wifi,12,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
4460,43.5566|-79.5782,"\\""""",CAN,1601557126,android,na,7,GPS,"\\""""",30ae46dc565c1bcffa05ee524938d5b2,1
4461,50.4634|-104.5981,207.195.86.14,CAN,1601556584,ios,na,6,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4462,43.6937|-79.7929,142.122.157.34,CAN,1601554442,android,wifi,2106,GPS,"\\""""",8a38ea503212a1bc3ed9011e59475147,1
4463,52.5747|-114.2887,174.90.223.9,CAN,1601555032,android,carrier,16,GPS,"\\""""",fcf8857d7a5cc725f08ef518f8279ecc,1
4464,49.3514|-123.0855,50.64.38.3,CAN,1601555884,android,wifi,3081,GPS,"\\""""",e9c8a48c2d23e7faf50d705cc7624c75,1
4465,45.3154|-75.9396,"\\""""",CAN,1601554776,android,na,12,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4466,43.6655|-79.3480,173.33.102.240,CAN,1601556635,ios,wifi,24,GPS,"\\""""",15a8371fd8bb4a5ec91c62907871594b,1
4467,45.3235|-75.8303,68.232.71.3,CAN,1601556883,ios,wifi,7,GPS,"\\""""",15a8371fd8bb4a5ec91c62907871594b,1
4468,45.4063|-75.7046,"\\""""",CAN,1601556068,android,na,10,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4469,43.8198|-79.5867,69.157.97.96,CAN,1601554339,android,wifi,6952,GPS,"\\""""",e9c8a48c2d23e7faf50d705cc7624c75,1
4470,49.4894|-124.3570,207.34.177.63,CAN,1601554549,ios,na,16,GPS,"\\""""",9111daff59cc5460975f5f83e08a5345,1
4471,50.9223|-113.9698,68.147.144.61,CAN,1601556695,android,wifi,7,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,2
4472,45.3314|-72.0535,"\\""""",CAN,1601555513,android,na,2,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4473,53.6216|-113.4641,75.158.50.152,CAN,1601556654,android,wifi,3769,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
4474,43.4443|-80.5546,174.119.226.222,CAN,1601554803,ios,wifi,16,GPS,"\\""""",3f65af3c6159cbabb049e6687c47c514,1
4475,49.0226|-119.4221,66.183.138.148,CAN,1601555698,android,na,21,GPS,"\\""""",1458f5833e87a50e69ddd51d9f3853ed,2
4476,42.4144|-82.0015,107.77.169.21,CAN,1601557032,android,carrier,3,GPS,"\\""""",694feedf5a4535ea0199f592e670b3f7,1
